length,site,date
8.53,brindle,24/5/2020
9.08,brindle,24/5/2020
14.25,brindle,24/5/2020
8.74,brindle,24/5/2020
13.49,brindle,24/5/2020
10.87,brindle,24/5/2020
10.06,brindle,24/5/2020
13.7,brindle,24/5/2020
11.88,brindle,24/5/2020
16,brindle,24/5/2020
11.75,brindle,24/5/2020
11.88,brindle,24/5/2020
11.21,brindle,24/5/2020
9.18,brindle,24/5/2020
8.3,brindle,24/5/2020
9.18,brindle,24/5/2020
9.65,brindle,24/5/2020
10.06,brindle,24/5/2020
10.33,brindle,24/5/2020
11.81,brindle,24/5/2020
15.32,brindle,24/5/2020
11.81,brindle,24/5/2020
10.4,brindle,24/5/2020
14.31,brindle,24/5/2020
9.32,brindle,24/5/2020
11.34,brindle,24/5/2020
10.73,brindle,24/5/2020
15.19,brindle,24/5/2020
10.67,brindle,24/5/2020
9.72,brindle,24/5/2020
9.99,brindle,24/5/2020
19.24,brindle,24/5/2020
11.14,brindle,24/5/2020
11.68,brindle,24/5/2020
14.51,brindle,24/5/2020
16.07,brindle,24/5/2020
11.75,brindle,24/5/2020
11.07,brindle,24/5/2020
15.12,brindle,24/5/2020
14.65,brindle,24/5/2020
9.79,brindle,24/5/2020
9.52,brindle,24/5/2020
9.18,brindle,24/5/2020
10.87,brindle,24/5/2020
11.34,brindle,24/5/2020
10.26,brindle,24/5/2020
9.05,brindle,24/5/2020
11.54,brindle,24/5/2020
11.41,brindle,24/5/2020
8.84,brindle,24/5/2020
9.59,brindle,7/7/2020
11.13,brindle,7/7/2020
15.27,brindle,7/7/2020
15.76,brindle,7/7/2020
10.32,brindle,7/7/2020
12.43,brindle,7/7/2020
12.59,brindle,7/7/2020
13.4,brindle,7/7/2020
11.78,brindle,7/7/2020
9.75,brindle,7/7/2020
10.88,brindle,7/7/2020
13,brindle,7/7/2020
9.67,brindle,7/7/2020
14.46,brindle,7/7/2020
12.92,brindle,7/7/2020
15.84,brindle,7/7/2020
8.85,brindle,7/7/2020
10.56,brindle,7/7/2020
16,brindle,7/7/2020
10.8,brindle,7/7/2020
19.13,brindle,7/7/2020
11.38,brindle,7/7/2020
15.33,brindle,7/7/2020
11.62,brindle,7/7/2020
17.59,brindle,7/7/2020
13.72,brindle,7/7/2020
11.78,brindle,7/7/2020
12.51,brindle,7/7/2020
14.61,brindle,7/7/2020
14.85,brindle,7/7/2020
17.51,brindle,7/7/2020
10.49,brindle,7/7/2020
14.37,brindle,7/7/2020
12.51,brindle,7/7/2020
15.1,brindle,27/8/2020
12.18,brindle,27/8/2020
9.49,brindle,27/8/2020
10.76,brindle,27/8/2020
11.81,brindle,27/8/2020
14.28,brindle,27/8/2020
16.67,brindle,27/8/2020
19.44,brindle,27/8/2020
13.08,brindle,27/8/2020
11.29,brindle,27/8/2020
16.3,brindle,27/8/2020
11.59,brindle,27/8/2020
13.62,brindle,27/8/2020
17.24,brindle,27/8/2020
11.5,brindle,27/8/2020
13.7,brindle,27/8/2020
10.16,brindle,27/8/2020
11.5,brindle,27/8/2020
18.11,brindle,27/8/2020
17.72,brindle,27/8/2020
16.46,brindle,27/8/2020
17.8,brindle,27/8/2020
14.96,brindle,27/8/2020
11.42,brindle,27/8/2020
15.22,brindle,25/9/2020
12.78,brindle,25/9/2020
13.65,brindle,25/9/2020
18.71,brindle,25/9/2020
11.43,brindle,25/9/2020
20.12,brindle,25/9/2020
20.61,brindle,25/9/2020
19.29,brindle,25/9/2020
15.48,brindle,25/9/2020
17.3,brindle,25/9/2020
20.61,brindle,25/9/2020
19.37,brindle,25/9/2020
13.33,brindle,25/9/2020
19.95,brindle,25/9/2020
13.66,brindle,25/9/2020
18.13,brindle,25/9/2020
13,brindle,25/9/2020
17.88,brindle,25/9/2020
13.16,brindle,25/9/2020
19.21,brindle,25/9/2020
20.2,brindle,25/9/2020
